"applicant_id","application_created_at","submitted_at"
"6889992485","2017-09-20","2017-09-20"
"9661824773","2017-08-30",
"10901109380","2017-09-17",
"4654038743","2017-08-29","2017-08-29"
"10334260734","2017-08-13",
"10677034998","2017-09-26",
"10756434754","2017-07-11","2017-07-11"
"6772779398","2017-07-25","2017-07-25"
"10926186768","2017-09-26",
"10808708826","2017-08-02",
"10920649970","2017-09-24",
"4660478614","2017-07-25","2017-07-25"
"8819147056","2017-08-03",
"10810640604","2017-08-04",
"9897818936","2017-08-03","2017-08-03"
"296728463","2017-09-16",
"u3436831","2017-07-27",
"10840510878","2017-08-16",
"292656607","2017-07-03","2017-07-03"
"293900449","2017-07-26",
"u71178","2017-06-29","2017-07-30"
"u10604962","2017-08-02",
"10446557185","2017-09-15",
"10667646931","2017-08-23","2017-08-23"
"10709841060","2017-07-21",
"10826192081","2017-08-10",
"10489062877","2017-08-02","2017-08-02"
"10066918616","2017-07-06",
"10743429414","2017-09-14",
"10825949604","2017-08-09","2017-08-09"
"10732577215","2017-06-29",
"4382612789","2017-07-05",
"3528008877","2017-07-20","2017-07-20"
"10859069818","2017-08-30",
"10926305204","2017-09-26",
"299930040","2017-09-23",
"5101740166","2017-07-14",
"10907534223","2017-09-14","2017-09-14"
"10446616606","2017-08-06","2017-09-19"
"3431628743","2017-09-21","2017-09-21"
"683038657","2017-07-24",
"u7095168","2017-07-17","2017-07-17"
"10880420186","2017-09-08","2017-09-08"
"10863961773","2017-09-17","2017-09-17"
"864179760","2017-09-23",
"5402548619","2017-07-27",
"7422137652","2017-08-21",
"10368851989","2017-08-30","2017-08-31"
"10785852922","2017-08-16",
"10710209196","2017-07-04",
"10521532522","2017-08-14",
"10889962725","2017-09-10",
"10693934766","2017-08-16",
"10741979146","2017-07-27","2017-07-30"
"10676146527","2017-08-11",
"8534719519","2017-06-21",
"10770687551","2017-07-25","2017-07-25"
"10833060688","2017-08-14",
"10919433384","2017-09-21","2017-09-21"
"10777523106","2017-07-21","2017-07-21"
"10674209434","2017-07-04",
"7122506203","2017-07-10","2017-07-10"
"9450320666","2017-08-28","2017-08-28"
"5242983516","2017-08-18",
"10897359538","2017-09-11",
"9656194369","2017-07-24",
"1854998918","2017-06-22","2017-07-31"
"10338679655","2017-09-03","2017-09-03"
"6379193569","2017-07-12","2017-07-12"
"3866908586","2017-07-04",
"u19286379","2017-08-06",
"10761668935","2017-07-12",
"10877844878","2017-09-02","2017-09-02"
"u34676635","2017-08-18","2017-08-18"
"10909639195","2017-09-14",
"10163665511","2017-09-19",
"10870229277","2017-09-06",
"10762451376","2017-07-15",
"10757750524","2017-07-14","2017-07-14"
"10583633207","2017-09-25","2017-09-27"
"5721448641","2017-07-14","2017-07-17"
"10299908701","2017-08-07",
"10396029946","2017-09-07","2017-09-07"
"10775250025","2017-07-22","2017-07-22"
"4212398853","2017-08-10","2017-08-11"
"10752665715","2017-07-11",
"10825203759","2017-08-10",
"10740115286","2017-07-04",
"10752071499","2017-07-14",
"9229225481","2017-06-30","2017-06-30"
"10863550365","2017-08-28","2017-08-28"
"u2349036","2017-08-31",
"4925358545","2017-07-12",
"10297205486","2017-08-27",
"u13275065","2017-06-26","2017-06-28"
"10926151883","2017-09-21","2017-09-21"
"10663023813","2017-08-23","2017-08-23"
"10868029160","2017-09-05",
"3750738581","2017-09-20",
"10430284152","2017-08-14","2017-08-14"
"10564987613","2017-08-06","2017-08-06"
"3651738633","2017-07-25",
"10573532395","2017-08-25",
"3202798558","2017-07-13",
"8310542693","2017-09-20","2017-09-20"
"10724382197","2017-06-24",
"10362461603","2017-08-28",
